,Unnamed: 0,Country,Daily new confirmed cases of COVID-19,daily_vaccinations
2327184,2327184,Canada,6374,721
2327964,2327964,Canada,6927,721
2328744,2328744,Canada,6742,721
2329524,2329524,Canada,6224,721
2330304,2330304,Canada,4795,721
2331084,2331084,Canada,5902,721
2332644,2332644,Canada,6907,721
2333424,2333424,Canada,5995,721
2334204,2334204,Canada,6769,721
2334984,2334984,Canada,5436,721
2336544,2336544,Canada,5654,721
2337324,2337324,Canada,5925,721
2339664,2339664,Canada,6169,721
2340444,2340444,Canada,5179,721
2341224,2341224,Canada,5023,721
2342004,2342004,Canada,3939,721
2342784,2342784,Canada,6427,721
2343564,2343564,Canada,5856,721
2345124,2345124,Canada,5284,721
2345904,2345904,Canada,6968,721
2346684,2346684,Canada,5413,721
2347464,2347464,Canada,3142,721
2348244,2348244,Canada,9562,721
2349024,2349024,Canada,5207,721
2349804,2349804,Canada,5928,721
2350584,2350584,Canada,5951,721
2351364,2351364,Canada,7930,721
2352144,2352144,Canada,7051,721
2352924,2352924,Canada,4018,721
2353704,2353704,Canada,15847,721
2354484,2354484,Canada,6880,721
2355264,2355264,Canada,7127,721
2356044,2356044,Canada,7544,721
2356824,2356824,Canada,9958,721
2357604,2357604,Canada,9035,721
2358384,2358384,Canada,4987,721
2359164,2359164,Canada,20315,721
2359944,2359944,Canada,7779,721
2360724,2360724,Canada,8308,721
2361504,2361504,Canada,8274,721
2362284,2362284,Canada,11775,721
2363064,2363064,Canada,9668,721
2363844,2363844,Canada,11875,721
2365404,2365404,Canada,7608,721
2366184,2366184,Canada,8019,721
2366964,2366964,Canada,4508,721
2367744,2367744,Canada,11410,721
2368524,2368524,Canada,2559,721
2369304,2369304,Canada,18930,721
2370084,2370084,Canada,11324,721
2370864,2370864,Canada,3600,721
2371644,2371644,Canada,8080,721
2372424,2372424,Canada,7344,721
2373204,2373204,Canada,12609,721
2373984,2373984,Canada,5861,721
2374764,2374764,Canada,8951,721
2375544,2375544,Canada,11935,721
2376324,2376324,Canada,5170,721
2377104,2377104,Canada,5473,721
2377884,2377884,Canada,4520,721
2378664,2378664,Canada,9934,721
2379444,2379444,Canada,3372,721
2380224,2380224,Canada,5769,721
2381004,2381004,Canada,9711,721
2381784,2381784,Canada,4269,721
2382564,2382564,Canada,4237,721
2383344,2383344,Canada,3777,721
2384124,2384124,Canada,8215,721
2384904,2384904,Canada,2806,721
2385684,2385684,Canada,5085,721
2387244,2387244,Canada,3173,721
2388024,2388024,Canada,2989,721
2388804,2388804,Canada,2932,721
2389584,2389584,Canada,6264,721
2390364,2390364,Canada,2249,721
2391144,2391144,Canada,4061,721
2391924,2391924,Canada,5608,721
2392704,2392704,Canada,2516,721
2394264,2394264,Canada,2100,721
2395044,2395044,Canada,4890,721
2395824,2395824,Canada,1546,721
2396604,2396604,Canada,2622,721
2397384,2397384,Canada,4157,721
2398944,2398944,Canada,2004,721
2399724,2399724,Canada,1755,721
2400504,2400504,Canada,4266,721
2401284,2401284,Canada,1336,721
2402064,2402064,Canada,2576,721
2402844,2402844,Canada,3856,721
2403624,2403624,Canada,1817,721
2404404,2404404,Canada,1743,721
2405184,2405184,Canada,1432,721
2405964,2405964,Canada,901,721
2406744,2406744,Canada,710,721
2407524,2407524,Canada,1871,721
2409084,2409084,Canada,3867,721
2415324,2415324,Canada,16144,721
2420784,2420784,Canada,15655,721
2426244,2426244,Canada,17381,721
2431704,2431704,Canada,22904,721
2437164,2437164,Canada,26972,721
2442624,2442624,Canada,31680,721
2448084,2448084,Canada,33362,721
2453544,2453544,Canada,28954,721
2459004,2459004,Canada,25561,721
2464464,2464464,Canada,24595,721
2469924,2469924,Canada,23209,721
2475384,2475384,Canada,21304,721
2480844,2480844,Canada,18914,721
2486304,2486304,Canada,16951,721
2491764,2491764,Canada,17925,721
2497224,2497224,Canada,18909,721
2502684,2502684,Canada,20423,721
