,Unnamed: 0.1,Unnamed: 0,Country,Daily new confirmed cases of COVID-19,daily_vaccinations
5031,6811750,6811750,Russia,121228.0,3357
5030,6810941,6810941,Russia,113122.0,3357
5029,6810132,6810132,Russia,98040.0,3357
5027,6808514,6808514,Russia,74692.0,3357
5361,7108653,7108653,Russia,8504.0,3357
5064,6839256,6839256,Russia,86769.0,3357
5363,7110271,7110271,Russia,9670.0,3357
5362,7109462,7109462,Russia,9287.0,3357
5063,6838447,6838447,Russia,89174.0,3357
5386,7130496,7130496,Russia,9753.0,3357
5385,7129687,7129687,Russia,9580.0,3357
5384,7128878,7128878,Russia,9574.0,3357
5383,7128069,7128069,Russia,11071.0,3357
5382,7127260,7127260,Russia,13829.0,3357
5380,7125642,7125642,Russia,13954.0,3357
5379,7124833,7124833,Russia,11277.0,3357
5378,7124024,7124024,Russia,12076.0,3357
5377,7123215,7123215,Russia,14233.0,3357
5376,7122406,7122406,Russia,15318.0,3357
5381,7126451,7126451,Russia,14721.0,3357
5374,7120788,7120788,Russia,14740.0,3357
5373,7119979,7119979,Russia,13436.0,3357
5372,7119170,7119170,Russia,9826.0,3357
5371,7118361,7118361,Russia,11006.0,3357
5370,7117552,7117552,Russia,12347.0,3357
5369,7116743,7116743,Russia,12845.0,3357
5368,7114316,7114316,Russia,10389.0,3357
5367,7113507,7113507,Russia,7615.0,3357
5366,7112698,7112698,Russia,8084.0,3357
5375,7121597,7121597,Russia,15359.0,3357
5364,7111080,7111080,Russia,9681.0,3357
5365,7111889,7111889,Russia,9410.0,3357
7775,10776327,10776327,United States,278812.0,4819
7774,10775520,10775520,United States,237883.0,4819
7773,10774713,10774713,United States,203318.0,4819
7772,10773906,10773906,United States,266159.0,4819
7767,10769871,10769871,United States,146477.0,4819
7770,10772292,10772292,United States,87584.0,4819
7769,10771485,10771485,United States,156763.0,4819
7768,10770678,10770678,United States,162668.0,4819
7766,10769064,10769064,United States,125442.0,4819
7776,10777134,10777134,United States,241450.0,4819
7771,10773099,10773099,United States,102213.0,4819
7777,10777941,10777941,United States,115824.0,4819
7788,10786818,10786818,United States,702790.0,4819
7779,10779555,10779555,United States,464495.0,4819
7780,10780362,10780362,United States,389514.0,4819
7781,10781169,10781169,United States,474309.0,4819
7782,10781976,10781976,United States,584647.0,4819
7783,10782783,10782783,United States,471965.0,4819
7784,10783590,10783590,United States,302957.0,4819
7785,10784397,10784397,United States,390858.0,4819
7786,10785204,10785204,United States,902391.0,4819
7787,10786011,10786011,United States,732514.0,4819
7765,10768257,10768257,United States,185683.0,4819
7789,10787625,10787625,United States,798436.0,4819
7778,10778748,10778748,United States,211284.0,4819
7764,10767450,10767450,United States,58109.0,4819
7752,10757766,10757766,United States,120690.0,4819
7762,10765836,10765836,United States,135573.0,4819
7737,10745661,10745661,United States,133590.0,4819
7738,10746468,10746468,United States,96915.0,4819
7739,10747275,10747275,United States,105810.0,4819
7740,10748082,10748082,United States,123870.0,4819
7741,10748889,10748889,United States,113822.0,4819
7742,10749696,10749696,United States,46194.0,4819
7743,10750503,10750503,United States,38751.0,4819
7744,10751310,10751310,United States,145378.0,4819
7745,10752117,10752117,United States,101066.0,4819
7746,10752924,10752924,United States,106535.0,4819
7747,10753731,10753731,United States,72723.0,4819
7748,10754538,10754538,United States,81747.0,4819
7749,10755345,10755345,United States,51800.0,4819
7750,10756152,10756152,United States,56537.0,4819
7751,10756959,10756959,United States,93479.0,4819
7790,10788432,10788432,United States,852951.0,4819
7753,10758573,10758573,United States,133075.0,4819
7754,10759380,10759380,United States,143869.0,4819
7755,10760187,10760187,United States,151567.0,4819
7756,10760994,10760994,United States,67352.0,4819
7757,10761801,10761801,United States,55314.0,4819
7758,10762608,10762608,United States,184043.0,4819
7759,10763415,10763415,United States,125548.0,4819
7760,10764222,10764222,United States,129708.0,4819
7761,10765029,10765029,United States,137431.0,4819
7763,10766643,10766643,United States,63967.0,4819
7791,10789239,10789239,United States,448743.0,4819
7803,10798923,10798923,United States,776490.0,4819
7793,10790853,10790853,United States,1265520.0,4819
7823,10815063,10815063,United States,196394.0,4819
7824,10815870,10815870,United States,165790.0,4819
7825,10816677,10816677,United States,155309.0,4819
7826,10817484,10817484,United States,67888.0,4819
7827,10818291,10818291,United States,47904.0,4819
7828,10819098,10819098,United States,174293.0,4819
7829,10819905,10819905,United States,108080.0,4819
7830,10820712,10820712,United States,105714.0,4819
7831,10821519,10821519,United States,100475.0,4819
7832,10822326,10822326,United States,103802.0,4819
7833,10823133,10823133,United States,40797.0,4819
7822,10814256,10814256,United States,197921.0,4819
7834,10823940,10823940,United States,31174.0,4819
7836,10825554,10825554,United States,115022.0,4819
7837,10826361,10826361,United States,73662.0,4819
7838,10827168,10827168,United States,75062.0,4819
7839,10827975,10827975,United States,74142.0,4819
7840,10828782,10828782,United States,25662.0,4819
7841,10830396,10830396,United States,76237.0,4819
7842,10831203,10831203,United States,63819.0,4819
7843,10832010,10832010,United States,52784.0,4819
7844,10832817,10832817,United States,51622.0,4819
7845,10833624,10833624,United States,44216.0,4819
7846,10834431,10834431,United States,14292.0,4819
7835,10824747,10824747,United States,48413.0,4819
7821,10813449,10813449,United States,305358.0,4819
7820,10812642,10812642,United States,96578.0,4819
7819,10811835,10811835,United States,104762.0,4819
7794,10791660,10791660,United States,803539.0,4819
7795,10792467,10792467,United States,855880.0,4819
7796,10793274,10793274,United States,892303.0,4819
7797,10794081,10794081,United States,898407.0,4819
7798,10794888,10794888,United States,465957.0,4819
7799,10795695,10795695,United States,418737.0,4819
7800,10796502,10796502,United States,968465.0,4819
7801,10797309,10797309,United States,856293.0,4819
7802,10798116,10798116,United States,780466.0,4819
7736,10744854,10744854,United States,33593.0,4819
7804,10799730,10799730,United States,776480.0,4819
7805,10800537,10800537,United States,328564.0,4819
7806,10801344,10801344,United States,314947.0,4819
7807,10802151,10802151,United States,1011148.0,4819
7808,10802958,10802958,United States,493232.0,4819
7809,10803765,10803765,United States,545225.0,4819
7810,10804572,10804572,United States,572820.0,4819
7811,10805379,10805379,United States,523326.0,4819
7812,10806186,10806186,United States,222172.0,4819
7813,10806993,10806993,United States,158214.0,4819
7814,10807800,10807800,United States,576521.0,4819
7815,10808607,10808607,United States,296458.0,4819
7816,10809414,10809414,United States,303405.0,4819
7817,10810221,10810221,United States,350050.0,4819
7818,10811028,10811028,United States,281890.0,4819
7792,10790046,10790046,United States,486541.0,4819
7735,10744047,10744047,United States,69276.0,4819
7723,10734363,10734363,United States,117847.0,4819
7733,10742433,10742433,United States,73647.0,4819
7651,10675452,10675452,United States,167459.0,4819
7652,10676259,10676259,United States,141824.0,4819
7653,10677066,10677066,United States,124481.0,4819
7654,10677873,10677873,United States,120825.0,4819
7655,10678680,10678680,United States,162414.0,4819
7656,10679487,10679487,United States,176904.0,4819
7657,10680294,10680294,United States,186271.0,4819
7658,10681101,10681101,United States,182171.0,4819
7659,10681908,10681908,United States,150022.0,4819
7660,10682715,10682715,United States,115672.0,4819
7661,10683522,10683522,United States,138600.0,4819
